tissue	cluster	gene
Olfactory_Epithelium	6	CCDC71L
Olfactory_Epithelium	6	KBTBD6
Olfactory_Epithelium	6	CSTF2T
Olfactory_Epithelium	6	NRARP
Olfactory_Epithelium	6	IGIP
Olfactory_Epithelium	6	ZCCHC3
Olfactory_Epithelium	7	JUNB
Olfactory_Epithelium	7	HSPA1B
Olfactory_Epithelium	7	RHOB
Olfactory_Epithelium	7	CEBPD
Olfactory_Epithelium	7	TCIM
Olfactory_Epithelium	7	CEBPB
Olfactory_Epithelium	7	MT-CO3
Olfactory_Epithelium	7	MT-CO1
Olfactory_Epithelium	7	ADRA2A
Olfactory_Epithelium	7	MT-ATP6
Olfactory_Epithelium	7	NDN
Olfactory_Epithelium	7	MT-CYB
Olfactory_Epithelium	7	PNMA1
Olfactory_Epithelium	7	FOXS1
Olfactory_Epithelium	7	SOX4
Olfactory_Epithelium	7	MT-ND4
Olfactory_Epithelium	7	MT-ND1
Olfactory_Epithelium	7	SMIM10
Olfactory_Epithelium	7	HNRNPA0
Olfactory_Epithelium	7	MT-CO2
Olfactory_Epithelium	7	CH25H
Olfactory_Epithelium	7	FOXC1
Olfactory_Epithelium	7	KCNA5
Olfactory_Epithelium	8	TCIM
Olfactory_Epithelium	8	MAFB
Olfactory_Epithelium	8	NDN
Olfactory_Epithelium	8	CH25H
Olfactory_Epithelium	8	MT-ND5
Olfactory_Epithelium	8	SMIM10
Olfactory_Epithelium	8	MT-ND3
Olfactory_Epithelium	8	FAM43A
Olfactory_Epithelium	8	CD248
Olfactory_Epithelium	8	MT-ND2
Olfactory_Epithelium	8	MAGEH1
Olfactory_Epithelium	8	RRAGA
Olfactory_Epithelium	8	SF3B5
Olfactory_Epithelium	8	HNRNPA0
Olfactory_Epithelium	8	MAGEF1
Olfactory_Epithelium	8	KCTD12
Olfactory_Epithelium	9	TACSTD2
Olfactory_Epithelium	9	CLDN3
Olfactory_Epithelium	9	MT-ND4
Olfactory_Epithelium	9	MT-CO1
Olfactory_Epithelium	9	MT-CO3
