tissue	cluster	gene
Testis	7	SF3B5
Testis	7	ATXN7L3B
Testis	7	ZCCHC3
Testis	7	CCDC87
Testis	7	NDN
Testis	7	SLC25A52
Testis	7	PCDHB7
Testis	7	RIMBP3C
Testis	7	CSTF2T
Testis	7	DDX28
Testis	7	RBM15B
Testis	7	CCDC71L
Testis	7	PGBD4
Testis	7	BOD1L2
Testis	7	H1-1
Testis	7	HASPIN
Testis	7	IER5
Testis	7	NUDT4B
Testis	7	BLOC1S4
Testis	7	RNF26
Testis	7	EID2
Testis	7	MAFB
Testis	7	RIOX1
Testis	7	SMIM10L1
Testis	7	PCDHB10
Testis	8	MT-CO3
Testis	8	MT-ATP6
Testis	8	MT-ND4
Testis	8	MT-CO2
Testis	8	MT-CYB
Testis	8	MT-ND3
Testis	8	MT-CO1
Testis	8	H4C3
Testis	8	MT-ATP8
Testis	8	MT-ND1
Testis	8	MT-ND5
Testis	8	MT-ND2
Testis	8	MT-ND4L
Testis	8	H2BC1
Testis	8	H1-2
Testis	8	DCAF4L1
Testis	8	EID3
Testis	8	OTUD6A
Testis	8	SUPT20HL2
Testis	8	H1-1
Testis	8	MT-ND6
Testis	8	HNRNPA0
Testis	8	NPAP1
Testis	8	H1-0
Testis	8	H3C2
Testis	8	DCAF4L2
Testis	8	H3C1
Testis	8	PCBP1
Testis	8	H1-6
Testis	8	H1-10
Testis	8	PURB
Testis	8	THAP11
Testis	8	H3-4
Testis	8	ATXN7L3B
Testis	8	H4C6
Testis	8	EID2
Testis	8	RBMXL3
Testis	8	CSTF2T
Testis	8	PPP4R3C
Testis	8	H4C4
Testis	8	RRAGA
Testis	8	H2BC3
Testis	8	PRR23A
Testis	8	TSPYL6
Testis	8	HUS1B
Testis	8	FTHL17
Testis	8	EXOSC6
Testis	8	SOX4
Testis	8	H4C5
Testis	8	H1-3
Testis	8	H1-4
Testis	8	PIGM
Testis	8	YY2
Testis	8	H2AC11
Testis	8	H2AC16
Testis	8	TMEM203
Testis	8	HSPA1B
Testis	8	RBBP8P1
Testis	8	MGAT2
Testis	8	NSMCE3
Testis	8	EZHIP
Testis	8	TFDP3
Testis	8	HEXIM1
Testis	8	RPA4
Testis	9	DNAJB7
Testis	9	NRARP
Testis	9	TEX54
Testis	9	CITED4
Testis	9	SPACA4
Testis	9	PLPP6
Testis	9	FTMT
Testis	9	CCDC185
Testis	9	FRAT2
Testis	9	ACTL10
Testis	9	MOCS3
Testis	9	FANCF
Testis	9	CTAGE1
Testis	9	SCP2D1
Testis	9	CCDC89
Testis	9	CCIN
Testis	9	CCT8L2
Testis	9	CCDC182
Testis	9	ACTL7B
Testis	9	TMDD1
Testis	9	SMIM42
Testis	9	ELOA2
Testis	9	KBTBD7
Testis	9	PFN3
Testis	9	GARIN4
Testis	9	RNF133
Testis	9	DDX53
Testis	9	ZNRF4
Testis	9	SOWAHC
Testis	10	MT-CYB
Testis	10	MT-ND4
Testis	10	MT-CO3
Testis	10	MT-CO2
Testis	10	MT-ATP6
Testis	10	MT-ND3
Testis	10	MT-CO1
Testis	10	MT-ND1
Testis	10	MT-ND5
Testis	10	MT-ND2
Testis	10	MT-ATP8
Testis	10	MT-ND4L
Testis	10	JUNB
Testis	10	KCTD12
Testis	10	CEBPD
Testis	10	RHOB
Testis	10	HSPA1B
Testis	10	CEBPB
Testis	10	PCBP1
Testis	10	MAFB
Testis	10	IER5
Testis	10	RAP2B
Testis	10	H1-10
Testis	10	HSPA6
Testis	10	SOX4
Testis	11	MT-CO2
Testis	11	MT-ND4
Testis	11	MT-CYB
Testis	11	MT-CO3
Testis	11	MT-ATP6
Testis	11	MT-ND5
Testis	11	MT-ND4L
Testis	11	MT-ND2
Testis	11	MT-CO1
Testis	11	MT-ND1
Testis	11	MT-ATP8
Testis	11	MT-ND3
Testis	11	SOX4
Testis	11	H4C3
Testis	11	MT-ND6
Testis	11	DCAF4L1
Testis	11	IRF2BPL
Testis	11	H2BC1
Testis	11	DCAF4L2
Testis	11	FOXC2
Testis	11	H1-10
Testis	11	RHOB
Testis	11	ATXN7L3B
Testis	11	H1-2
Testis	11	H1-3
Testis	11	IER5L
Testis	12	H2BC1
Testis	12	CETN1
Testis	12	EID3
Testis	12	NKAPL
Testis	12	RBMXL2
Testis	12	TKTL2
Testis	12	NACA2
Testis	12	HDGFL1
Testis	12	MT-ND3
Testis	12	GMCL2
Testis	12	PPP1R2B
Testis	12	MT-CO1
Testis	12	MT-CO3
Testis	12	PRPS1L1
Testis	12	MT-CO2
